,Date,Open,Promo,Predicted_Sales
0,2026-06-11T00:00:00.000,1,1,87.98291015625
1,2026-06-12T00:00:00.000,1,1,123.6297607421875
2,2026-06-13T00:00:00.000,1,1,465.31982421875
3,2026-06-14T00:00:00.000,0,0,0
4,2026-06-15T00:00:00.000,1,0,484.4284362792969
5,2026-06-16T00:00:00.000,1,0,436.6819152832031
6,2026-06-17T00:00:00.000,1,0,241.73609924316406
7,2026-06-18T00:00:00.000,1,0,259.38055419921875
8,2026-06-19T00:00:00.000,1,0,362.5060119628906
9,2026-06-20T00:00:00.000,1,0,1674.71630859375
10,2026-06-21T00:00:00.000,0,0,0
11,2026-06-22T00:00:00.000,1,1,57.31180191040039
12,2026-06-23T00:00:00.000,1,1,5.445730686187744
13,2026-06-24T00:00:00.000,1,1,3.039628028869629
14,2026-06-25T00:00:00.000,1,1,11.525856971740723
